Order_ID,Customer_ID,Customer_Name,Email,Country,City,Order_Date,Ship_Date,Product_Category,Quantity,Unit_Price,Discount,Sales,Age,Customer_Segment,Satisfaction_Score,Payment_Method,Notes
O1070,C034,Peter Schmidt,peter.schmidt@example.com,Italy,Rome,08/04/2026,10/04/2026,Office Supplies,0,74.93,"0,15",0,48,Home Office,,Unknown,Check Address
O1046,C022,Anna Müller,anna.muller@example.com,France,Unknown,02/06/2026,15/02/2026,Electronics,1,174.28,"0,05","165,57",39,Home Office,5,Credit Card,Check Address
O1018,C049,Mehdi Karimi,mehdi.karimi@example.com,Netherlands,Amsterdam,28/01/2026,03/02/2026,Home,8,382.96,"0,15","2604,13",58,Corporate,3,Unknown,Missing Phone
O1038,C035,Ali Reza,ali.reza@example.com,Netherlands,Rotterdam,16/05/2026,24/05/2026,Office Supplies,8,392.72,"0,15","2670,5",20,Consumer,,Cash,Check Address
O1011,C005,Maha Zadeh,maha.zadeh@example.com,Germany,Karlsruhe,26/01/2026,27/01/2026,Electronics,6,171.33,"0,2","822,38",61,Consumer,,Bank Transfer,Missing Phone
O1012,C019,John Doe,john.doe@example.com,España,Valencia,29/03/2026,01/04/2026,Electronics,1,"9999,99","0,05","9499,99",56,Home Office,4,Credit Card,Unknown
O1080,C046,Tom Brown,tom.brown@example.com,Netherlands,Unknown,01/12/2026,18/01/2026,Furniture,1,111.5,"0,2","89,2",36,Corporate,3,Bank Transfer,Check Address
O1085,C049,Luca Bianchi,luca.bianchi@example.com,Germany,Karlsruhe,01/03/2026,02/03/2026,Furniture,1,€280.50,"0,15","238,42",,Home Office,5,Bank Transfer,Missing Phone
O1083,C039,Peter Schmidt,peter.schmidt@example.com,Italy,Milan,03/03/2026,11/03/2026,Electronics,6,398.2,"0,25","1791,9",46,Consumer,2,Bank Transfer,Ok
O1023,C054,Nina Weber,nina.weber@example.com,Italy,Rome,19/03/2026,29/03/2026,Electronics,1,171.79,"0,1","154,61",16,Corporate,1,PayPal,Return Risk
O1037,C050,Laura Rossi,laura.rossi@example.com,Italy,Milan,08/05/2026,12/05/2026,Electronics,4,326.65,"0,05","1241,27",56,Consumer,1,Bank Transfer,Missing Phone
O1010,C004,Tom Brown,tom.brown@example.com,España,Barcelona,17/02/2026,18/02/2026,Furniture,2,263.88,0,"527,76",42,Corporate,3,PayPal,Ok
O1075,C040,Julia Fischer,julia.fischer@example.com,Netherlands,Amsterdam,14/04/2026,20/04/2026,Office Supplies,3,"9999,99","0,15","25499,97",31,Home Office,3,PayPal,Missing Phone
O1091,C018,Carlos Garcia,carlos.garcia@example.com,France,Lyon,20/01/2026,25/01/2026,Home,10,142.66,"0,1","1283,94",69,Consumer,3,Bank Transfer,Missing Phone
O1049,C020,Mehdi Karimi,mehdi.karimi@example.com,Italy,Milan,27/03/2026,29/03/2026,Office Supplies,4,329.5,"0,05","1252,1",31,Corporate,2,Unknown,Ok
O1064,C034,Nina Weber,nina.weber@example.com,Germany,Heidelberg,11/02/2026,16/02/2026,Home,5,288.7,"0,05","1371,33",56,Home Office,5,Bank Transfer,Ok
O1024,C035,Peter Schmidt,peter.schmidt@example.com,Italy,Naples,22/04/2026,01/05/2026,Furniture,2,339.71,"0,25","509,56",40,Home Office,3,Bank Transfer,Urgent
O1020,C055,Nina Weber,nina.weber@example.com,Netherlands,Rotterdam,08/04/2026,15/04/2026,Office Supplies,7,361.54,"0,15","2151,16",30,Consumer,4,Credit Card,Ok
O1074,C019,Julia Fischer,julia.fischer@example.com,Netherlands,Unknown,18/03/2026,27/03/2026,Electronics,8,226.31,"0,2","1448,38",45,Home Office,3,Bank Transfer,Ok
O1053,C014,Marie Dubois,marie.dubois@example.com,France,Paris,05/05/2026,08/05/2026,Electronics,2,334.48,"0,25","501,72",37,Home Office,5,Unknown,Check Address
O1065,C006,Luca Bianchi,Unknown,Germany,Karlsruhe,09/03/2026,19/03/2026,Office Supplies,8,€291.72,"0,05","2217,07",67,Corporate,4,Unknown,Return Risk
O1013,C003,Luca Bianchi,luca.bianchi@example.com,France,Paris,11/01/2026,16/01/2026,Office Supplies,9,€282.33,"0,05","2413,92",71,Unknown,2,Cash,Missing Phone
O1066,C021,Mehdi Karimi,mehdi.karimi@example.com,Italy,Milan,30/03/2026,05/04/2026,Office Supplies,4,117.58,"0,1","423,29",76,Consumer,2,PayPal,Check Address
O1015,C017,Emma Wilson,emma.wilson@example.com,Germany,Karlsruhe,22/04/2026,,Office Supplies,7,27.62,"0,2","154,67",75,Home Office,,Bank Transfer,Missing Phone
O1002,C025,Sara Smith,sara.smith@example.com,Germany,Karlsruhe,30/03/2026,08/04/2026,Electronics,7,285.86,"0,1","1800,92",52,Corporate,,Bank Transfer,Ok
O1055,C007,Anna Müller,anna.muller@example.com,Italy,Milan,01/02/2026,05/02/2026,Office Supplies,3,410.44,"0,1","1108,19",,Consumer,1,Credit Card,Unknown
O1007,C034,Nina Weber,nina.weber@example.com,España,Madrid,27/02/2026,28/02/2026,Home,0,34.02,0,0,71,Corporate,3,PayPal,Check Address
O1058,C041,Ali Reza,Unknown,Germany,Karlsruhe,27/03/2026,29/03/2026,Office Supplies,3,441.52,"0,05","1258,33",67,Corporate,4,Cash,Unknown
O1076,C044,Anna Müller,anna.muller@example.com,España,Barcelona,21/03/2026,22/03/2026,Electronics,3,445.07,"0,25","1001,41",51,Home Office,,Unknown,Check Address
O1033,C019,Ali Reza,Unknown,Italy,Milan,05/06/2026,08/05/2026,Office Supplies,9,392.36,"0,05","3354,68",52,Home Office,4,PayPal,Return Risk
O1031,C003,Laura Rossi,laura.rossi@example.com,España,Madrid,06/03/2026,03/11/2026,Office Supplies,1,190.66,"0,1","171,59",55,Consumer,1,Credit Card,Return Risk
O1082,C014,Nina Weber,nina.weber@example.com,France,Paris,26/04/2026,01/05/2026,Furniture,5,25.48,"0,2","101,92",62,Consumer,2,Credit Card,Unknown
O1073,C001,Ali Reza,ali.reza@example.com,España,Barcelona,02/10/2026,,Electronics,5,409.31,"0,2","1637,24",30,Unknown,1,Cash,Ok
O1088,C046,Anna Müller,Unknown,Netherlands,Amsterdam,20/01/2026,24/01/2026,Home,7,177.66,"0,25","932,71",62,Unknown,3,Cash,Urgent
